,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth
0,1,CHRISTIAN MCCAFFREY,CAR,RB,24.333333333333332,19.32,38.13,RB1
1,2,DALVIN COOK,MIN,RB,21.0,15.99,31.56,RB1
2,3,ALVIN KAMARA,NO,RB,19.666666666666668,14.65,28.92,RB1
3,4,DERRICK HENRY,TEN,RB,19.625,14.61,28.84,RB1
4,5,EZEKIEL ELLIOTT,DAL,RB,11.466666666666667,6.45,12.73,RB1
5,6,DAVANTE ADAMS,GB,WR,17.357142857142858,13.07,22.31,LWR1
6,7,AARON JONES,GB,RB,15.142857142857142,10.13,20.0,RB1
7,8,TYREEK HILL,KC,WR,16.133333333333333,11.85,20.23,LWR1
8,9,CALVIN RIDLEY,ATL,WR,12.8,8.51,14.53,LWR1
9,10,TRAVIS KELCE,KC,TE,13.866666666666667,11.18,21.85,TE1
10,11,ANTONIO GIBSON,WAS,RB,11.857142857142858,6.84,13.5,RB1
11,12,JONATHAN TAYLOR,IND,RB,14.466666666666667,9.45,18.65,RB1
12,13,NICK CHUBB,CLE,RB,16.0,10.99,21.69,RB1
13,14,AUSTIN EKELER,LAC,RB,11.1,6.09,12.02,RB1
14,15,STEFON DIGGS,BUF,WR,12.625,8.34,14.24,LWR1
15,16,SAQUON BARKLEY,NYG,RB,4.5,-0.51,-1.01,RB1
16,17,JOE MIXON,CIN,RB,13.166666666666666,8.15,16.09,RB1
17,18,DEANDRE HOPKINS,ARI,WR,10.8125,6.53,11.15,LWR1
18,19,D.K. METCALF,SEA,WR,11.75,7.46,12.73,
19,20,JUSTIN JEFFERSON,MIN,WR,11.625,7.34,12.53,LWR1
20,21,NAJEE HARRIS,PIT,RB,0.0,-1000.0,-1973.86,RB1
21,22,A.J. BROWN,TEN,WR,12.714285714285714,8.43,14.39,LWR1
22,23,DARREN WALLER,LV,TE,10.75,8.07,15.77,TE1
23,24,KEENAN ALLEN,LAC,WR,10.357142857142858,6.07,10.36,LWR1
24,25,ALLEN ROBINSON,CHI,WR,10.0625,5.78,9.87,
25,26,TERRY MCLAURIN,WAS,WR,9.133333333333333,4.85,8.28,LWR1
26,27,CLYDE EDWARDS-HELAIRE,KC,RB,10.76923076923077,5.76,11.37,RB1
27,28,ROBERT WOODS,LAR,WR,9.6875,5.4,9.22,LWR1
28,29,CEEDEE LAMB,DAL,WR,9.0,4.71,8.04,LWR1
29,30,CHRIS CARSON,SEA,RB,12.583333333333334,7.57,14.94,RB1
30,31,JAMES ROBINSON,JAX,RB,14.357142857142858,9.34,18.44,RB1
31,32,GEORGE KITTLE,SF,TE,9.625,6.94,13.56,TE1
32,33,CHRIS GODWIN,TB,WR,10.5,6.21,10.6,RWR1
33,34,AMARI COOPER,DAL,WR,9.0625,4.78,8.16,RWR1
34,35,D'ANDRE SWIFT,DET,RB,11.076923076923077,6.06,11.96,RB1
35,36,JULIO JONES,TEN,WR,10.555555555555555,6.27,10.7,RWR1
36,37,MIKE EVANS,TB,WR,11.1875,6.9,11.78,LWR1
37,38,J.K. DOBBINS,BAL,RB,10.066666666666666,5.05,9.97,RB1
38,39,DIONTAE JOHNSON,PIT,WR,8.933333333333334,4.65,7.94,LWR1
39,40,D.J. MOORE,CAR,WR,9.733333333333333,5.45,9.3,
40,41,TYLER LOCKETT,SEA,WR,10.3125,6.03,10.29,RWR1
