,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth,FP_Pos_Rank,FP_OVR_Rank
0,1,CHRISTIAN MCCAFFREY,CAR,RB,24.33,19.32,38.13,RB1,RB1,1
1,2,DALVIN COOK,MIN,RB,21.0,15.99,31.56,RB1,RB2,2
2,3,ALVIN KAMARA,NO,RB,19.67,14.66,28.94,RB1,RB4,4
3,4,DERRICK HENRY,TEN,RB,19.62,14.61,28.84,RB1,RB3,3
4,5,EZEKIEL ELLIOTT,DAL,RB,11.47,6.46,12.75,RB1,RB5,5
6,7,AARON JONES,GB,RB,15.14,10.13,20.0,RB1,RB7,7
10,11,ANTONIO GIBSON,WAS,RB,11.86,6.85,13.52,RB1,RB10,14
11,12,JONATHAN TAYLOR,IND,RB,14.47,9.46,18.67,RB1,RB8,8
12,13,NICK CHUBB,CLE,RB,16.0,10.99,21.69,RB1,RB6,6
13,14,AUSTIN EKELER,LAC,RB,11.1,6.09,12.02,RB1,RB13,22
15,16,SAQUON BARKLEY,NYG,RB,4.5,-0.51,-1.01,RB1,RB9,9
16,17,JOE MIXON,CIN,RB,13.17,8.16,16.11,RB1,RB11,18
20,21,NAJEE HARRIS,PIT,RB,0.0,-1000.0,-1973.85,RB1,RB12,21
26,27,CLYDE EDWARDS-HELAIRE,KC,RB,10.77,5.76,11.37,RB1,RB14,27
29,30,CHRIS CARSON,SEA,RB,12.58,7.57,14.94,RB1,RB15,30
30,31,JAMES ROBINSON,JAX,RB,14.36,9.35,18.46,RB1,RB18,41
34,35,D'ANDRE SWIFT,DET,RB,11.08,6.07,11.98,RB1,RB17,40
37,38,J.K. DOBBINS,BAL,RB,10.07,5.06,9.99,RB1,RB28,72
43,44,JOSH JACOBS,LV,RB,13.2,8.19,16.17,RB1,RB20,43
45,46,DAVID MONTGOMERY,CHI,RB,14.07,9.06,17.88,RB1,RB16,33
46,47,MILES SANDERS,PHI,RB,11.83,6.82,13.46,RB1,RB19,42
49,50,MIKE DAVIS,ATL,RB,9.87,4.86,9.59,RB1,RB22,58
50,51,DARRELL HENDERSON,LAR,RB,7.6,2.59,5.11,,RB21,50
51,52,JAVONTE WILLIAMS,DEN,RB,0.0,-1000.0,-1973.85,RB1,RB27,70
62,63,KAREEM HUNT,CLE,RB,11.31,6.3,12.44,RB2,RB23,60
63,64,CHASE EDMONDS,ARI,RB,7.19,2.18,4.3,RB1,RB29,74
66,67,TREY SERMON,SF,RB,0.0,-1000.0,-1973.85,RB2,RB33,91
71,72,RAHEEM MOSTERT,SF,RB,10.5,5.49,10.84,RB1,RB30,76
73,74,MYLES GASKIN,MIA,RB,12.3,7.29,14.39,RB1,RB24,62
83,84,DAMIEN HARRIS,NE,RB,8.6,3.59,7.09,RB1,RB25,64
84,85,RONALD JONES II,TB,RB,11.29,6.28,12.4,RB1,RB31,77
92,93,MELVIN GORDON,DEN,RB,11.07,6.06,11.96,,,
93,94,MICHAEL CARTER,NYJ,RB,0.0,-1000.0,-1973.85,RB1,RB38,106
94,95,AJ DILLON,GB,RB,3.45,-1.56,-3.08,,RB37,105
95,96,GUS EDWARDS,BAL,RB,7.44,2.43,4.8,RB2,RB26,68
96,97,JAMES CONNER,ARI,RB,10.0,4.99,9.85,RB2,RB34,98
97,98,JAMAAL WILLIAMS,DET,RB,6.86,1.85,3.65,RB2,RB40,112
99,100,TONY POLLARD,DAL,RB,5.81,0.8,1.58,RB2,RB43,124
103,104,NYHEIM HINES,IND,RB,8.12,3.11,6.14,RB2,RB45,130
104,105,KENYAN DRAKE,LV,RB,11.13,6.12,12.08,RB2,RB39,110
109,110,DEVIN SINGLETARY,BUF,RB,6.62,1.61,3.18,RB2,RB41,115
110,111,ZACK MOSS,BUF,RB,6.77,1.76,3.47,RB1,RB35,99
112,113,LEONARD FOURNETTE,TB,RB,7.38,2.37,4.68,RB2,RB36,104
116,117,PHILLIP LINDSAY,HOU,RB,5.36,0.35,0.69,RB1,RB44,125
118,119,SONY MICHEL,LAR,RB,7.56,2.55,5.03,RB2,RB48,139
121,122,ALEXANDER MATTISON,MIN,RB,5.69,0.68,1.34,RB2,RB47,137
122,123,MALCOLM BROWN,MIA,RB,5.38,0.37,0.73,RB2,RB55,188
125,126,DAVID JOHNSON,HOU,RB,12.25,7.24,14.29,RB2,RB42,118
126,127,TEVIN COLEMAN,NYJ,RB,1.12,-3.89,-7.68,RB2,RB50,144
127,128,DAMIEN WILLIAMS,CHI,RB,0.0,-1000.0,-1973.85,RB2,RB60,203
135,136,DARRYNTON EVANS,TEN,RB,2.8,-2.21,-4.36,RB2,RB62,208
136,137,GIOVANI BERNARD,TB,RB,6.94,1.93,3.81,RB3,RB53,167
137,138,JAMES WHITE,NE,RB,4.86,-0.15,-0.3,RB2,RB49,143
143,144,J.D. MCKISSIC,WAS,RB,6.94,1.93,3.81,RB2,RB51,147
144,145,RASHAAD PENNY,SEA,RB,1.0,-4.01,-7.92,RB2,RB52,160
145,146,CARLOS HYDE,JAX,RB,6.9,1.89,3.73,RB2,RB57,191
