,Score_Rank,Player,Team,Pos.,FantPtPerGame_2020,ValueOverPosition_2020,VOP_2020_WithFactor,Depth,FP_Pos_Rank,FP_OVR_Rank
5,6,DAVANTE ADAMS,GB,WR,17.36,13.07,22.31,LWR1,WR1,10
7,8,TYREEK HILL,KC,WR,16.13,11.84,20.21,LWR1,WR2,11
8,9,CALVIN RIDLEY,ATL,WR,12.8,8.51,14.53,LWR1,WR4,13
14,15,STEFON DIGGS,BUF,WR,12.62,8.33,14.22,LWR1,WR3,12
17,18,DEANDRE HOPKINS,ARI,WR,10.81,6.52,11.13,LWR1,WR6,17
18,19,D.K. METCALF,SEA,WR,11.75,7.46,12.73,,WR5,16
19,20,JUSTIN JEFFERSON,MIN,WR,11.62,7.33,12.51,LWR1,WR8,23
21,22,A.J. BROWN,TEN,WR,12.71,8.42,14.37,LWR1,WR7,19
23,24,KEENAN ALLEN,LAC,WR,10.36,6.07,10.36,LWR1,WR13,32
24,25,ALLEN ROBINSON,CHI,WR,10.06,5.77,9.85,,,
25,26,TERRY MCLAURIN,WAS,WR,9.13,4.84,8.26,LWR1,WR9,26
27,28,ROBERT WOODS,LAR,WR,9.69,5.4,9.22,LWR1,WR16,36
28,29,CEEDEE LAMB,DAL,WR,9.0,4.71,8.04,LWR1,WR12,31
32,33,CHRIS GODWIN,TB,WR,10.5,6.21,10.6,RWR1,WR14,34
33,34,AMARI COOPER,DAL,WR,9.06,4.77,8.14,RWR1,WR15,35
35,36,JULIO JONES,TEN,WR,10.56,6.27,10.7,RWR1,WR17,37
36,37,MIKE EVANS,TB,WR,11.19,6.9,11.78,LWR1,WR10,28
38,39,DIONTAE JOHNSON,PIT,WR,8.93,4.64,7.92,LWR1,WR24,53
39,40,D.J. MOORE,CAR,WR,9.73,5.44,9.29,,WR18,38
40,41,TYLER LOCKETT,SEA,WR,10.31,6.02,10.28,RWR1,WR21,46
41,42,TEE HIGGINS,CIN,WR,8.0,3.71,6.33,LWR1,WR23,52
42,43,BRANDON AIYUK,SF,WR,10.42,6.13,10.46,LWR1,WR22,48
44,45,COOPER KUPP,LAR,WR,7.8,3.51,5.99,RWR1,WR20,45
47,48,JA'MARR CHASE,CIN,WR,0.0,-1000.0,-1706.98,RWR1,WR28,63
48,49,CHASE CLAYPOOL,PIT,WR,9.56,5.27,9.0,RWR1,WR27,59
52,53,JERRY JEUDY,DEN,WR,6.62,2.33,3.98,LWR1,WR29,65
56,57,ROBBY ANDERSON,CAR,WR,8.06,3.77,6.44,RWR1,WR32,75
57,58,ODELL BECKHAM JR.,CLE,WR,9.14,4.85,8.28,LWR1,WR26,57
58,59,ADAM THIELEN,MIN,WR,12.0,7.71,13.16,RWR1,WR19,44
59,60,COREY DAVIS,NYJ,WR,9.0,4.71,8.04,LWR1,WR39,92
67,68,JUJU SMITH-SCHUSTER,PIT,WR,8.56,4.27,7.29,SWR1,WR31,73
68,69,BRANDIN COOKS,HOU,WR,10.07,5.78,9.87,LWR1,WR34,80
69,70,KENNY GOLLADAY,NYG,WR,9.2,4.91,8.38,LWR1,WR25,55
70,71,ANTONIO BROWN,TB,WR,9.0,4.71,8.04,SWR1,WR40,93
72,73,LAVISKA SHENAULT JR.,JAX,WR,7.07,2.78,4.75,SWR1,WR44,101
75,76,TYLER BOYD,CIN,WR,7.6,3.31,5.65,SWR1,WR35,81
76,77,COURTLAND SUTTON,DEN,WR,7.0,2.71,4.63,RWR1,WR30,66
77,78,WILL FULLER,MIA,WR,12.36,8.07,13.78,,,
78,79,DEVONTA SMITH,PHI,WR,0.0,-1000.0,-1706.98,LWR1,WR38,88
79,80,DEEBO SAMUEL,SF,WR,6.86,2.57,4.39,RWR1,WR33,78
80,81,MICHAEL GALLUP,DAL,WR,7.12,2.83,4.83,SWR1,WR43,100
81,82,MARVIN JONES,JAX,WR,9.5,5.21,8.89,,,
85,86,CURTIS SAMUEL,WAS,WR,9.0,4.71,8.04,RWR1,WR41,95
86,87,MIKE WILLIAMS,LAC,WR,7.07,2.78,4.75,RWR1,WR42,97
89,90,DJ CHARK,JAX,WR,7.77,3.48,5.94,,,
90,91,JAYLEN WADDLE,MIA,WR,0.0,-1000.0,-1706.98,SWR1,WR49,117
91,92,MARQUEZ CALLAWAY,NO,WR,1.91,-2.38,-4.06,RWR1,WR73,198
98,99,ELIJAH MOORE,NYJ,WR,0.0,-1000.0,-1706.98,RWR1,WR57,148
107,108,JAKOBI MEYERS,NE,WR,6.0,1.71,2.92,RWR1,WR62,162
108,109,JARVIS LANDRY,CLE,WR,7.73,3.44,5.87,RWR1,WR45,102
113,114,DARNELL MOONEY,CHI,WR,5.69,1.4,2.39,RWR1,WR52,126
115,116,DEVANTE PARKER,MIA,WR,7.36,3.07,5.24,RWR1,WR51,120
119,120,MECOLE HARDMAN,KC,WR,5.44,1.15,1.96,RWR1,WR53,132
